Sexo,Idade,Renda,Altura
0,23,800,1.603807616
1,23,1150,1.739789827
1,35,880,1.760443822
0,46,3500,1.783157945
1,47,150,1.690630954
1,34,790,1.637905598
0,57,3150,1.570078218
1,60,1700,1.608495442
1,50,1800,1.780328883
0,26,1150,1.793202625
1,46,3000,1.787003282
1,49,2500,1.712911548
1,52,1200,1.736442076
0,38,2000,1.750826666
0,45,2000,1.780450392
0,34,6000,1.711825037
1,43,1050,1.789011804
0,53,7000,1.673665133
0,57,2000,1.715137632
1,62,1150,1.76597309
0,69,3030,1.746351196
1,41,4000,1.660873129
0,34,788,1.746048026
0,25,1000,1.726496158
0,33,800,1.778913561
1,44,788,1.668637941
0,33,1600,1.783770601
0,65,1700,1.873445247
0,33,2000,1.890250314
0,32,2400,1.660204145
0,43,3000,1.636361741
0,30,920,1.685590822
0,26,1300,1.68402625
0,52,2000,1.67104419
0,62,1300,1.632129706
0,64,600,1.712121503
0,31,1200,1.763447989
0,63,1000,1.694500204
1,40,1000,1.705147683
0,47,1500,1.672258066
0,34,900,1.645452653
0,33,900,1.814785789
0,63,0,1.652746296
1,40,300,1.757341995
0,41,1600,1.611286043
0,28,1500,1.693976403
1,32,750,1.684819452
0,44,800,1.701974845
1,38,3600,1.599083153
0,41,1500,1.646862718
0,62,3000,1.752071058
0,37,2300,1.576576371
0,41,1500,1.697451547
0,41,4500,1.573698003
1,46,4800,1.727453392
1,46,900,1.663525091
1,45,400,1.450378572
0,60,1050,1.75151196
1,38,850,1.599067442
1,32,650,1.62281412
1,39,300,1.523482727
1,49,900,1.677850056
1,34,1000,1.77007179
1,38,970,1.799870428
1,36,1000,1.704955017
1,45,600,1.674563104
0,49,1000,1.810539927
1,44,800,1.741427298
0,73,0,1.799846494
0,56,200,1.492688377
0,33,1400,1.66788028
0,27,2500,1.827358586
0,49,3000,1.774589199
0,57,1100,1.709833981
0,41,2000,1.7085447
0,39,1400,1.827305281
0,23,788,1.70508676
0,39,1400,1.785680605
0,35,1000,1.645685159
0,30,600,1.754153474
0,35,788,1.772827632
0,36,500,1.718663746
0,37,1500,1.7149494
0,60,1400,1.650202938
0,38,600,1.727064502
0,43,800,1.765924712
0,42,1200,1.742593838
0,51,2500,1.76866907
1,33,1200,1.764367928
0,46,2000,1.713904438
1,29,1300,1.745392257
0,40,800,1.59311812
1,46,550,1.591341012
0,25,975,1.864178568
0,32,1500,1.790890146
0,40,1200,1.67198338
0,26,1145,1.717498162
1,49,1200,1.632010545
0,37,1500,1.701369066
0,24,1200,1.542187487
1,40,850,1.784559772
0,39,1200,1.679341936
0,39,900,1.772286883
0,41,1200,1.669996473
0,36,2500,1.661693983
1,37,400,1.719933842
0,28,1100,1.728302429
0,32,1200,1.653043786
0,24,2500,1.620771725
0,39,4000,1.510171114
0,33,2500,1.623599656
1,49,788,1.701556571
0,37,2000,1.566850054
0,35,788,1.570629405
1,55,380,1.891911461
0,24,836,1.665663657
0,34,1250,1.709368199
0,27,1325,1.607844631
